
> hexa-vector-postgres@1.0.0 ingest
> tsx src/ingest.ts

Checking Ollama...

Scanning sources...
Scanning hexactitude-docs...
  Found 1201 files
Scanning hexactitude-scripts...
  Found 91 files
Scanning hexactitude-plugins...
  Found 65 files
Scanning ahs-documentation...
  Found 42 files
Scanning front...
  Found 530 files
Scanning bff...
  Found 282 files
Scanning contracts...
  Found 86 files
Found 2297 files to process
[1321/2297] 57.5% | 206s elapsed | 5016 chunks | ETA: 163s | hexactitude-plugins
[1341/2297] 58.3% | 210s elapsed | 5108 chunks | ETA: 159s | hexactitude-plugins
[1361/2297] 59.2% | 214s elapsed | 5221 chunks | ETA: 157s | ahs-documentation
[1381/2297] 60.1% | 216s elapsed | 5275 chunks | ETA: 153s | ahs-documentation
[1401/2297] 60.9% | 219s elapsed | 5336 chunks | ETA: 148s | front
[1421/2297] 61.8% | 220s elapsed | 5367 chunks | ETA: 144s | front
[1441/2297] 62.7% | 221s elapsed | 5400 chunks | ETA: 139s | front
[1461/2297] 63.6% | 222s elapsed | 5433 chunks | ETA: 134s | front
[1481/2297] 64.4% | 223s elapsed | 5464 chunks | ETA: 130s | front
[1501/2297] 65.3% | 224s elapsed | 5500 chunks | ETA: 126s | front
[1521/2297] 66.2% | 224s elapsed | 5530 chunks | ETA: 121s | front
[1541/2297] 67.0% | 225s elapsed | 5559 chunks | ETA: 117s | front
[1561/2297] 67.9% | 226s elapsed | 5585 chunks | ETA: 113s | front
[1581/2297] 68.8% | 227s elapsed | 5608 chunks | ETA: 108s | front
[1601/2297] 69.7% | 227s elapsed | 5636 chunks | ETA: 104s | front
[1621/2297] 70.5% | 228s elapsed | 5659 chunks | ETA: 100s | front
[1641/2297] 71.4% | 229s elapsed | 5685 chunks | ETA: 96s | front
[1661/2297] 72.3% | 229s elapsed | 5711 chunks | ETA: 92s | front
[1681/2297] 73.1% | 230s elapsed | 5732 chunks | ETA: 89s | front
[1701/2297] 74.0% | 230s elapsed | 5753 chunks | ETA: 85s | front
[1721/2297] 74.9% | 231s elapsed | 5779 chunks | ETA: 81s | front
[1741/2297] 75.8% | 233s elapsed | 5820 chunks | ETA: 78s | front
[1761/2297] 76.6% | 234s elapsed | 5865 chunks | ETA: 75s | front
[1781/2297] 77.5% | 236s elapsed | 5913 chunks | ETA: 72s | front
[1801/2297] 78.4% | 237s elapsed | 5949 chunks | ETA: 69s | front
[1821/2297] 79.2% | 239s elapsed | 6001 chunks | ETA: 66s | front
[1841/2297] 80.1% | 240s elapsed | 6033 chunks | ETA: 62s | front
[1861/2297] 81.0% | 242s elapsed | 6093 chunks | ETA: 60s | front
[1881/2297] 81.8% | 244s elapsed | 6129 chunks | ETA: 56s | front
[1901/2297] 82.7% | 245s elapsed | 6161 chunks | ETA: 53s | front
[1921/2297] 83.6% | 246s elapsed | 6193 chunks | ETA: 50s | front
[1941/2297] 84.5% | 248s elapsed | 6235 chunks | ETA: 48s | bff
[1961/2297] 85.3% | 249s elapsed | 6270 chunks | ETA: 45s | bff
[1981/2297] 86.2% | 249s elapsed | 6293 chunks | ETA: 42s | bff
[2001/2297] 87.1% | 251s elapsed | 6329 chunks | ETA: 39s | bff
[2021/2297] 87.9% | 251s elapsed | 6355 chunks | ETA: 36s | bff
[2041/2297] 88.8% | 252s elapsed | 6387 chunks | ETA: 33s | bff
[2061/2297] 89.7% | 253s elapsed | 6410 chunks | ETA: 30s | bff
[2081/2297] 90.6% | 253s elapsed | 6443 chunks | ETA: 28s | bff
[2101/2297] 91.4% | 254s elapsed | 6465 chunks | ETA: 25s | bff
[2121/2297] 92.3% | 255s elapsed | 6491 chunks | ETA: 22s | bff
[2141/2297] 93.2% | 256s elapsed | 6537 chunks | ETA: 20s | bff
[2161/2297] 94.0% | 257s elapsed | 6572 chunks | ETA: 17s | bff
[2181/2297] 94.9% | 258s elapsed | 6599 chunks | ETA: 14s | bff
[2201/2297] 95.8% | 259s elapsed | 6623 chunks | ETA: 12s | bff
[2221/2297] 96.6% | 261s elapsed | 6681 chunks | ETA: 9s | contracts
[2241/2297] 97.5% | 263s elapsed | 6738 chunks | ETA: 7s | contracts
[2261/2297] 98.4% | 264s elapsed | 6781 chunks | ETA: 4s | contracts
[2281/2297] 99.3% | 266s elapsed | 6817 chunks | ETA: 2s | contracts
[2297/2297] 100.0% | 266s elapsed | 6837 chunks | ETA: 0s | contracts

✓ Done in 266.2s
  Processed: 2216 files
  Skipped: 0 files (unchanged)
  Chunks created: 6838

Database stats:
  Total chunks: 6514
  Total files: 2152
  By type: {
  code: 1332,
  contract: 171,
  glossary: 120,
  knowledge: 4263,
  plugin: 325,
  script: 303
}
